06/05/2023,-16.55,MIDJOURNEY INC. SOUTH SAN FRA CA USA Card xx6552 USD 11.00 Value Date: 04/05/2023,+10075.74
06/05/2023,-7.29,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 04/05/2023,+10092.29
05/05/2023,-21.99,ADOBE CREATIVE CLOUD Sydney AU AUS Card xx6552 Value Date: 04/05/2023,+10099.58
05/05/2023,-15.18,VUMBACA FRUIT MARKET DEE WHY AUS Card xx6552 Value Date: 02/05/2023,+10121.57
05/05/2023,-12.16,TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 03/05/2023,+10136.75
05/05/2023,-85.85,WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 03/05/2023,+10148.91
05/05/2023,-12.16,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 03/05/2023,+10234.76
05/05/2023,-725,Transfer to other Bank NetBank 14 84 Dee Why Pde,+10246.92
04/05/2023,+15.00,Fast Transfer From VIVIANA VELANDIA ORTI to PayID Phone Viviana velandia,+10971.92
04/05/2023,-15,BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 02/05/2023,+10956.92
04/05/2023,-88.65,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 02/05/2023,+10971.92
04/05/2023,-5,OEH NSW SYDNEY SOUTH AUS Card xx6552 Value Date: 02/05/2023,+11060.57
04/05/2023,-5.75,BIG W 0145 BROOKVALE AU AUS Card xx0033 Value Date: 02/05/2023,+11065.57
04/05/2023,-18.5,KMART 1378 BROOKVALE AU AUS Card xx0033 Value Date: 02/05/2023,+11071.32
04/05/2023,-20,COTTON ON KIDS 2265 BROOKVALE NS AUS Card xx0033 Value Date: 02/05/2023,+11089.82
04/05/2023,-46,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 02/05/2023,+11109.82
04/05/2023,-42,Just Cuts Warringah M Brookvale NS AUS Card xx0033 Value Date: 02/05/2023,+11155.82
04/05/2023,-93.23,ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 01/05/2023,+11197.82
04/05/2023,-31.78,BUNNINGS 551000 WARRINGAH MAL AUS Card xx0033 Value Date: 02/05/2023,+11291.05
03/05/2023,-18.69,Direct Debit 617704 PAYPAL AUSTRALIA 1026766882574,+11322.83
03/05/2023,-90.45,Direct Debit 617704 PAYPAL AUSTRALIA 1026779654269,+11341.52
